,YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,OUTAGE.START.DATE,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,OUTAGE.DURATION,RES.PRICE,COM.PRICE,IND.PRICE,TOTAL.PRICE,RES.SALES,COM.SALES,IND.SALES,TOTAL.SALES,RES.PERCEN,COM.PERCEN,IND.PERCEN,RES.CUSTOMERS,COM.CUSTOMERS,IND.CUSTOMERS,TOTAL.CUSTOMERS,RES.CUST.PCT,COM.CUST.PCT,IND.CUST.PCT,PC.REALGSP.STATE,PC.REALGSP.USA,PC.REALGSP.REL,PC.REALGSP.CHANGE,UTIL.REALGSP,TOTAL.REALGSP,UTIL.CONTRI,PI.UTIL.OFUSA,POPULATION,POPPCT_URBAN,POPPCT_UC,POPDEN_URBAN,POPDEN_UC,POPDEN_RURAL,AREAPCT_URBAN,AREAPCT_UC,PCT_LAND,PCT_WATER_TOT,PCT_WATER_INLAND,CUSTOMERS.AFFECTED
470,2011,12.0,Washington,WA,WECC,Northwest,-0.9,cold,2011-12-19,08:48:00,2011-12-19,16:00:00,intentional attack,432.0,8.38,7.67,4.21,7.07,3893262.0,2625962.0,2332196.0,8852112.0,43.9811651727859,29.6648076752757,26.3462098084615,2837631,354185,27845,3219667,88.13430084539799,11.000671808606294,0.8648409913199098,52822,47586,1.11003236245955,-0.4,3832,360358,1.06338696518462,0.8,6823229,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,
471,2015,6.0,Washington,WA,WECC,Northwest,1.0,warm,2015-06-29,19:21:00,2015-06-29,19:42:00,islanding,21.0,9.39,8.11,4.49,7.45,2342731.0,2527042.0,2103977.0,6974162.0,33.5915770238776,36.2343461479673,30.16816930837,2945760,365095,29163,3340024,88.19577344354413,10.930909478494765,0.8731374385333758,55403,49844,1.11152796725784,1.4,3461,404972,0.854626986557095,0.8,7170351,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,0.0
472,2011,9.0,Washington,WA,WECC,Northwest,-0.8,cold,2011-09-13,11:43:00,2011-09-14,16:00:00,intentional attack,1697.0,8.52,7.53,4.22,6.74,2228195.0,2402344.0,2325896.0,6957091.0,32.0276822597261,34.5308692958019,33.4320192160775,2837631,354185,27845,3219667,88.13430084539799,11.000671808606294,0.8648409913199098,52822,47586,1.11003236245955,-0.4,3832,360358,1.06338696518462,0.8,6823229,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,
473,2011,6.0,Washington,WA,WECC,Northwest,-0.3,normal,2011-06-22,20:12:00,2011-06-22,20:12:00,intentional attack,0.0,8.47,7.46,3.44,6.4,2456894.0,2323382.0,2553790.0,7334593.0,33.4973460695092,31.6770405665318,34.8184282345319,2837631,354185,27845,3219667,88.13430084539799,11.000671808606294,0.8648409913199098,52822,47586,1.11003236245955,-0.4,3832,360358,1.06338696518462,0.8,6823229,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,0.0
474,2012,4.0,Washington,WA,WECC,Northwest,-0.4,normal,2012-04-21,20:55:00,2012-04-23,16:30:00,intentional attack,2615.0,8.46,7.68,4.08,6.94,3014431.0,2341074.0,2209204.0,7565294.0,39.8455235183193,30.9449176727302,29.2018261286343,2852760,356028,27690,3236484,88.14380049461082,11.000456050454753,0.8555580685707082,53622,48156,1.11350610515824,1.5,3605,369797,0.974859179495777,0.8,6897292,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,
475,2006,12.0,Washington,WA,WECC,Northwest,0.9,warm,2006-12-14,05:30:00,2006-12-20,22:00:00,severe weather,9630.0,7.18,6.91,5.39,6.74,3675939.0,2560105.0,1498174.0,7734340.0,47.5275071951841,33.1004972628563,19.3704181610842,2704101,337999,25829,3067933,88.14081011547515,11.017157154344636,0.8419023492364403,52727,48909,1.07806334212517,1.4,3657,335912,1.08867798709186,0.7,6370753,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,172060.0
476,2006,2.0,Washington,WA,WECC,Northwest,-0.6,cold,2006-02-04,01:34:00,2006-02-06,12:01:00,severe weather,3507.0,6.73,6.59,4.45,6.17,3518413.0,2461449.0,1751316.0,7731265.0,45.5088914944708,31.8375970814608,22.6523861230989,2704101,337999,25829,3067933,88.14081011547515,11.017157154344636,0.8419023492364403,52727,48909,1.07806334212517,1.4,3657,335912,1.08867798709186,0.7,6370753,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,123827.0
477,2006,12.0,Washington,WA,WECC,Northwest,0.9,warm,2006-12-14,17:00:00,2006-12-16,16:00:00,severe weather,2820.0,7.18,6.91,5.39,6.74,3675939.0,2560105.0,1498174.0,7734340.0,47.5275071951841,33.1004972628563,19.3704181610842,2704101,337999,25829,3067933,88.14081011547515,11.017157154344636,0.8419023492364403,52727,48909,1.07806334212517,1.4,3657,335912,1.08867798709186,0.7,6370753,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,75000.0
478,2011,7.0,Washington,WA,WECC,Northwest,-0.3,normal,2011-07-29,11:46:00,2011-07-29,17:00:00,intentional attack,314.0,8.48,7.41,4.11,6.65,2363217.0,2367268.0,2415372.0,7146468.0,33.0683213022153,33.12500664664,33.7981223731779,2837631,354185,27845,3219667,88.13430084539799,11.000671808606294,0.8648409913199098,52822,47586,1.11003236245955,-0.4,3832,360358,1.06338696518462,0.8,6823229,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,
479,2006,11.0,Washington,WA,WECC,Northwest,0.9,warm,2006-11-15,13:00:00,2006-11-19,14:35:00,severe weather,5855.0,7.21,6.87,5.1,6.61,2828491.0,2285078.0,1522529.0,6636190.0,42.6222124441886,34.4335831252571,22.9428180929117,2704101,337999,25829,3067933,88.14081011547515,11.017157154344636,0.8419023492364403,52727,48909,1.07806334212517,1.4,3657,335912,1.08867798709186,0.7,6370753,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,50000.0
480,2011,6.0,Washington,WA,WECC,Northwest,-0.3,normal,2011-06-20,10:36:00,2011-06-20,10:36:00,intentional attack,0.0,8.47,7.46,3.44,6.4,2456894.0,2323382.0,2553790.0,7334593.0,33.4973460695092,31.6770405665318,34.8184282345319,2837631,354185,27845,3219667,88.13430084539799,11.000671808606294,0.8648409913199098,52822,47586,1.11003236245955,-0.4,3832,360358,1.06338696518462,0.8,6823229,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,0.0
481,2012,1.0,Washington,WA,WECC,Northwest,-0.7,cold,2012-01-29,12:45:00,2012-01-29,12:45:00,intentional attack,0.0,8.37,7.66,4.05,7.06,4079777.0,2615583.0,2291942.0,8988060.0,45.3910743809009,29.1006401826423,25.4998520259099,2852760,356028,27690,3236484,88.14380049461082,11.000456050454753,0.8555580685707082,53622,48156,1.11350610515824,1.5,3605,369797,0.974859179495777,0.8,6897292,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,
482,2014,3.0,Washington,WA,WECC,Northwest,-0.4,normal,2014-03-03,01:48:00,2014-03-03,01:49:00,fuel supply emergency,1.0,8.64,8.12,4.29,7.29,3597735.0,2509959.0,2315018.0,8423104.0,42.7126983116913,29.7985042093746,27.484143612616,2907705,359219,30308,3297238,88.18608180543836,10.894542644480017,0.9191935795960134,54662,49091,1.1134831231794,1.7,3356,386000,0.869430051813471,0.7,7063166,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,
483,2006,12.0,Washington,WA,WECC,Northwest,0.9,warm,2006-12-13,04:30:00,2006-12-28,23:59:00,severe weather,22769.0,7.18,6.91,5.39,6.74,3675939.0,2560105.0,1498174.0,7734340.0,47.5275071951841,33.1004972628563,19.3704181610842,2704101,337999,25829,3067933,88.14081011547515,11.017157154344636,0.8419023492364403,52727,48909,1.07806334212517,1.4,3657,335912,1.08867798709186,0.7,6370753,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,700000.0
484,2012,5.0,Washington,WA,WECC,Northwest,-0.3,normal,2012-05-29,18:30:00,2012-05-29,19:40:00,intentional attack,70.0,8.52,7.56,3.89,6.73,2574153.0,2313916.0,2288800.0,7177447.0,35.8644654568679,32.2387054895703,31.8887760508716,2852760,356028,27690,3236484,88.14380049461082,11.000456050454753,0.8555580685707082,53622,48156,1.11350610515824,1.5,3605,369797,0.974859179495777,0.8,6897292,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,
485,2004,4.0,Washington,WA,WECC,Northwest,0.1,normal,2004-04-27,12:35:00,2004-04-30,12:00:00,severe weather,4285.0,6.27,6.1,4.23,5.72,2714465.0,2248773.0,1570146.0,6536704.0,41.5265093845461,34.4022461472938,24.0204543451868,2604485,331501,21919,2957979,88.04947567241011,11.207009921300996,0.7410126981969785,49648,47037,1.05550949252716,0.4,3596,306754,1.17227485216167,0.7,6178645,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,187000.0
486,2011,8.0,Washington,WA,WECC,Northwest,-0.6,cold,2011-08-22,10:05:00,2011-08-22,16:00:00,intentional attack,355.0,8.4,7.4,4.27,6.69,2439460.0,2481324.0,2444603.0,7366208.0,33.1169035682946,33.6852285463565,33.1867223950233,2837631,354185,27845,3219667,88.13430084539799,11.000671808606294,0.8648409913199098,52822,47586,1.11003236245955,-0.4,3832,360358,1.06338696518462,0.8,6823229,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,
487,2012,1.0,Washington,WA,WECC,Northwest,-0.7,cold,2012-01-15,09:35:00,2012-01-15,09:35:00,intentional attack,0.0,8.37,7.66,4.05,7.06,4079777.0,2615583.0,2291942.0,8988060.0,45.3910743809009,29.1006401826423,25.4998520259099,2852760,356028,27690,3236484,88.14380049461082,11.000456050454753,0.8555580685707082,53622,48156,1.11350610515824,1.5,3605,369797,0.974859179495777,0.8,6897292,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,
488,2015,8.0,Washington,WA,WECC,Northwest,1.4,warm,2015-08-29,13:00:00,2015-08-31,07:00:00,severe weather,2520.0,9.36,8.06,4.53,7.42,2441106.0,2540013.0,2208545.0,7190121.0,33.9508333726234,35.3264291379797,30.7163815462911,2945760,365095,29163,3340024,88.19577344354413,10.930909478494765,0.8731374385333758,55403,49844,1.11152796725784,1.4,3461,404972,0.854626986557095,0.8,7170351,84.05,9.08,2380.0,1487.9,16.7,3.57,0.62,93.2087856601868,6.79121433981318,2.40539706583635,64000.0
